5, 76, 43, 28, 13, 1, 6
6, 98, 41, 23, 15, 2, 7
7, 101, 60, 20, 9, 2, 7
8, 81, 46, 19, 13, 3, 9
9, 80, 57, 20, 24, 4, 10
10, 111, 63, 17, 34, 6, 13
11, 149, 61, 18, 31, 5, 10
12, 142, 96, 24, 32, 3, 8
13, 117, 79, 18, 43, 4, 8
